,date.v2,pm25,x,y,id,name,AQI,color
1803,2017/10/6,29.18571429,120.56,24.195,74DA3895E0E0,taichung14,Moderate,#fce700
1804,2017/10/7,24.65625,120.56,24.195,74DA3895E0E0,taichung14,Moderate,#fce700
1805,2017/10/8,34.92957746,120.56,24.195,74DA3895E0E0,taichung14,Moderate,#fce700
1806,2017/10/9,40.50847458,120.56,24.195,74DA3895E0E0,taichung14,Unhealthy for Sensitive Groups,#fc9f00
1807,2017/10/10,55.47945205,120.56,24.195,74DA3895E0E0,taichung14,Unhealthy,#FF0000
1808,2017/10/11,24.3442623,120.56,24.195,74DA3895E0E0,taichung14,Moderate,#fce700
1809,2017/10/12,4.65,120.56,24.195,74DA3895E0E0,taichung14,Good,#56ed00
1810,2017/10/13,4.909090909,120.56,24.195,74DA3895E0E0,taichung14,Good,#56ed00
1811,2017/10/14,25.53125,120.56,24.195,74DA3895E0E0,taichung14,Moderate,#fce700
1812,2017/10/15,17.5,120.56,24.195,74DA3895E0E0,taichung14,Moderate,#fce700
1813,2017/10/17,11.82608696,120.56,24.195,74DA3895E0E0,taichung14,Good,#56ed00
1814,2017/10/18,18.20689655,120.56,24.195,74DA3895E0E0,taichung14,Moderate,#fce700
1815,2017/10/19,11.51724138,120.56,24.195,74DA3895E0E0,taichung14,Good,#56ed00
1816,2017/10/20,13.19354839,120.56,24.195,74DA3895E0E0,taichung14,Good,#56ed00
1817,2017/10/21,20.78333333,120.56,24.195,74DA3895E0E0,taichung14,Moderate,#fce700
1818,2017/10/22,36.93650794,120.56,24.195,74DA3895E0E0,taichung14,Unhealthy for Sensitive Groups,#fc9f00
1819,2017/10/23,44.6875,120.56,24.195,74DA3895E0E0,taichung14,Unhealthy for Sensitive Groups,#fc9f00
1820,2017/10/24,25.06060606,120.56,24.195,74DA3895E0E0,taichung14,Moderate,#fce700
1821,2017/10/25,18.609375,120.56,24.195,74DA3895E0E0,taichung14,Moderate,#fce700
1822,2017/10/26,20.48148148,120.56,24.195,74DA3895E0E0,taichung14,Moderate,#fce700
1823,2017/10/27,29.4,120.56,24.195,74DA3895E0E0,taichung14,Moderate,#fce700
